,,トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
市町村名,№,トイレ名,住所,"利用
可能
時間",駐車場,,,,多目的トイレ設備内容,,,,,,,,,一般トイレ設備内容,,,,,,,,,,,,,,,,,,
,,,,,,,,,洋式,表示アイコン,,,ベビーベッド,ベビーチェア,介護用ベッド,"温水
洗浄",オストメイト,男性用トイレ,,,,,,,,女性用トイレ,,,,,,,,備考,,
,,,,,無料,有料,障害者,スペース,,多,オ,ベ,,,,,,洋式,温水洗浄便座,和式,小便器,"荷物
置き場",ベビーベッド,ベビーチェア,音姫,洋式,温水洗浄便座,和式,小便器,"荷物
置き場",ベビーベッド,ベビーチェア,音姫,,,
和歌山市,1,友ヶ島野奈浦公衆トイレ,和歌山市加太字笘ヶ沖島2673-3,終日,,,,,1,,,,,,,,,1,,1,3,フック,,,,1,,1,,フック,,,,,,
和歌山市,2,友ヶ島南垂水公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,終日,,,,,,,,,,,,,,,,1,1,フック,,,,,,,,,,,,男女兼用,,
和歌山市,3,友ヶ島池尻公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,終日,,,,,,,,,,,,,,,,1,1,フック,,,,,,,,,,,,男女兼用,,
和歌山市,4,友ヶ島第３砲台跡下公衆トイレ,和歌山市加太字笘ヶ沖島2673-1,,,,,,,,,,,,,,,,,1,2,,,,,1,,1,,,,,,,,
和歌山市,5,加太大波止公衆トイレ,和歌山市加太118,終日,,,,,1,,,,1,,,1,,,,1,1(1),,,,,1,1,2,,フック,,,,,,
和歌山市,6,深山海岸公衆トイレ,和歌山市深山地内,終日,,,,,1,,,,1,,,,,,,1(1),1(1),,,,,,,,,,,,,男女兼用,,
和歌山市,7,加太海岸公衆トイレ,和歌山市加太地先,終日,,,,,1,,,,,1,1,1,,,,1,2(1),,,1,,,,1(1),,フック,,1,,,,
和歌山市,8,磯の浦海水浴場公衆トイレ,和歌山市磯の浦379番地先,終日,,,,,1,,,,1,1,,1,,1,1,2,5(1),フック,,,,2,2,3,,フック,,,,,,
和歌山市,9,和歌浦公衆トイレ,和歌山市新和歌浦1-1,終日,,,,,1,,,,1,1,,1,,,,1(1),3(1),棚,,,,1(1),1,1(1),,"棚/
フック",,,有,,,
