観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎｏ,名称,市町村名,住所,利用時間,駐車場台数,,形式,便器数,,,,,,,,,,多目的（障害者用）トイレ,,,,,,,,,,設　　　備,,,,,,,近隣の観光スポット,特記事項,,,,,,,,,,,,,
,,,,,一般,障害者用,,男性用,,,女性用,,兼用,,子供用,,うちｳｫｼｭﾚｯﾄ,手すり,段差解消,レバー,非常ボタン,ドア形態,"内部ｽﾍﾟｰｽ
ｍ×ｍ",移乗方向,ｳｫｼｭﾚｯﾄ,介護ベッド,オストメイト,蛇口,温風乾燥機,休憩スペース,荷物台・棚,フック,乳幼児イス,乳幼児ベッド,,,,,,,,,,,,,,,
90,粉河ハイランドパーク,紀の川市,紀の川市中津川地区,9:00　　　　　18:00,20,,水洗式,,3,1,,3,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
91,長田観音,紀の川市,紀の川市別所58,終日,,,汲み取り式,,,,,,,3,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
92,紀の川市鞆渕出張所,紀の川市,紀の川市中鞆渕1041,8:45　　　　　　　17:30,20,,水洗式,,,5,,,1,2,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
93,紀の川市役所,紀の川市,紀の川市西大井338,8:45　　　　　17:30,200,3,水洗式,1,1,3,3,1,,,,,,○,○,押ボタン式,○,引き戸式,2.4×2.5,横,,,,光感知式,○,,,○,,○,,,,,,,,,,,,,,,
94,JR和歌山線打田駅,紀の川市,紀の川市打田1242-4,終日,7,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
95,海神社,紀の川市,紀の川市神領地区,終日,5,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
96,めっけもん広場,紀の川市,紀の川市豊田56-3,9:00　　　　　17:00,200,2,水洗式,3,,5,5,,,,,,,○,○,くつべら式,○,引き戸式,1.6×2.1,横,,,,光感知式,○,,○,○,,○,,,,,,,,,,,,,,,
97,紀伊国分寺跡公衆トイレ,紀の川市,紀の川市東国分671,終日,15,,水洗式,,1,2,1,1,,,,,,○,○,押ボタン式,○,引き戸式,1.8×2.2,横,,,,光感知式,,,,○,○,○,,,,,,,,,,,,,,,
98,最初ヵ峰展望所公衆トイレ,紀の川市,紀の川市竹房地区,終日,10,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
99,春日神社,紀の川市,紀の川市中三谷地区,終日,5,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
100,神通温泉,紀の川市,紀の川市神通150-1,11:00　　　　21:00,50,,水洗式,1,,1,2,,2,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
101,紀の川市那賀支所,紀の川市,紀の川市名手市場146-4, 8:45　　　　17:30,50,,水洗式,1,,4,1,2,,1,,,,○,,押ボタン式,○,引き戸式,1.8×2.3,前方から,,,,レバー式,○,,○,○,,○,,,,,,,,,,,,,,,
102,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,JR名手駅公衆トイレ,紀の川市,紀の川市名手市場208,終日,,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
104,青洲の里公衆トイレ,紀の川市,紀の川市西野山473, 9:00　　　　17:00,40,2,水洗式,1,,3,2,,,,,,,○,,手動式,○,引き戸式,2.0×1.5,前方から,,,,手動式,,,○,○,,,,,,,,,,,,,,,,,
105,青洲の里（外）公衆トイレ,紀の川市,紀の川市西野山473, 9:00　　　　17:00,,,水洗式,,1,3,1,3,,,,,,○,,手動式,○,引き戸式,1.9×2.7,前方から,,,,手動式,,,○,○,,,,,,,,,,,,,,,,,
106,旧名手本陣,紀の川市,紀の川市名手市場641,10:00　　　　16:00,,,汲み取り式,,,,,,,1,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
107,光明寺,紀の川市,紀の川市名手市場,終日,,,水洗式,,,,,,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
108,九頭神社,紀の川市,紀の川市麻生津中,終日,,,水洗式,,,,,,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
109,藤崎弁天,紀の川市,紀の川市藤崎地区,終日,5,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
110,名手八幡神社,紀の川市,紀の川市穴伏地区,終日,10,,水洗式,,3,2,,3,,,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
111,紀の川市役所桃山支所,紀の川市,紀の川市桃山町元381,9:00　　　　　　　　18:00,30,1,水洗式,1,1,4,1,2,,,,,,○,,手動式,○,引き戸式,2.4×2.4,前方から,,,,手動式,,,,○,,○,,,,,,,,,,,,,,,
112,桃山特産センター,紀の川市,紀の川市桃山町市場地区,8:00　　　　　17:30,20,,水洗式,,1,2,,2,,,,,,○,○,くつべら式,○,引き戸式,１.6×2.1,横,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
113,桃源郷運動公園公衆トイレ,紀の川市,紀の川市桃山町最上1147-11,終日,100,4,水洗式,1,1,3,2,1,,,,,,○,,光感知式,○,引き戸式,2.0×2.1,横,,,,押ボタン式,,,○,○,○,,,,,,,,,,,,,,,,
114,桃りゃんせ夢工房,紀の川市,紀の川市桃山町神田526-2,終日,30,2,水洗式,,1,2,1,1,,,,,,○,,光感知式,,引き戸式,2.1×2.1,横,,,,押ボタン式,,,○,○,,,,,,,,,,,,,,,,,
115,細野渓流キャンプ場,紀の川市,紀の川市桃山町垣内258-1,終日,70,,水洗式,,,1,,,3,2,,,,○,,手動式,,引き戸式,１.7×2.1,横,,,,手動式,,,,,,,,,,,,,,,,,,,,,
116,紀の川市貴志川支所,紀の川市,紀の川市貴志川町神戸327-1,8:45　　　　　17:30,30,3,水洗式,,4,6,,2,,,,,,○,○,手動式,○,引き戸式,2.6×1.9,前方から,,,,手動式,,,○,○,,,,,,,,,,,,,,,,,
117,きしべの里,紀の川市,紀の川市貴志川町井ノ口地区,終日,30,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
118,平池緑地公園公衆トイレ,紀の川市,紀の川市貴志川町神戸地区,終日,15,,水洗式,,,,,,,,,,,○,,手動式,○,引き戸式,2.0×2.0,横,,,,レバー式,,,,○,,○,,,,,,,,,,,,,,,
119,野鳥公園公衆トイレ,紀の川市,紀の川市貴志川町神戸地区,終日,20,,水洗式,,,,,,,,,,,○,,押ボタン式,○,引き戸式,2.1×2.1,横,,,,レバー式,,,,○,,○,,,,,,,,,,,,,,,
120,貴志川物産センター,紀の川市,紀の川市貴志川町前田135-1,9:00　　　　　17:00,,,水洗式,,1,,,1,,,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
121,大池遊園公衆トイレ,紀の川市,紀の川市貴志川町長山地区,終日,10,,汲み取り式,,,,,,,,,,,○,○,手動式,,引き戸式,1.5×1.5,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
122,山田ダム公衆トイレ,紀の川市,紀の川市貴志川町高尾地区,終日,5,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
123,貴志川スポーツ公園公衆トイレ,紀の川市,紀の川市貴志川町井ノ口1411-10,9:00　　　　　17:30,50,,水洗式,,,,,,,,,,,○,○,足踏式,,引き戸式,2.2×1.8,,,,,光感知式,,,,○,,,,,,,,,,,,,,,,,
124,和歌山県植物公園緑化センター本館事務所トイレ,岩出市,岩出市東坂本672,"9：00
17：00",312,8,水洗式,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,根来寺　　　　　　　　　　　　根来山げんきの森,,,,,,,,,,,,,,
125,和歌山県植物公園緑化センター本館駐車場(南側)公衆トイレ,岩出市,岩出市東坂本672,"9：00
17：00",,,水洗式,,1,4,,3,1,,,,,○,○,レバー式,○,引き戸式,1.95×1.9,前方から,,,,光感知式,,○,○,,,,"根来寺
根来山げんきの森",,,,,,,,,,,,,,
126,和歌山県植物公園緑化センター別館展示室公衆トイレ,岩出市,岩出市東坂本672,"9：00
17：00",,,水洗式,,1,1,,2,1,,,,,○,○,レバー式,○,引き戸式,2.1×2.0,前方から,,,○,光感知式,,○,,○,,,"根来寺
根来山げんきの森",,,,,,,,,,,,,,
127,和歌山県植物公園緑化センター紀州ふるさとの店(東側)公衆トイレ,岩出市,岩出市東坂本672,"9：00
17：00",,,水洗式,,1,3,,2,1,,,,,○,○,レバー式,○,引き戸式,2.8×1.9,前方から,,,○,光感知式,,○,,○,○,,"根来寺
根来山げんきの森",,,,,,,,,,,,,,
128,わんぱく広場公衆トイレ,岩出市,岩出市東坂本672,"9：00
17：00",,,水洗式,,1,3,1,2,1,,,,,○,○,レバー式,○,外開き式,1.8×1.8,前方から,,,,光感知式,,,,,,,"根来寺
根来山げんきの森",,,,,,,,,,,,,,
129,芝生広場公衆トイレ,岩出市,岩出市東坂本672,"9：00
17：00",,,水洗式,,,,,,2,,,,,○,○,光感知式,○,引き戸式,2.5×2.2,前方から,,,○,光感知式,,○,,○,,○,"根来寺
根来山げんきの森",,,,,,,,,,,,,,
130,公園管理棟横公衆トイレ（職員兼用）,岩出市,岩出市根来2277,"9：00
17：00",47,3,"水洗式
 (バイオ式)",,1,1,,2,1,,,,,○,○,レバー式,○,引き戸式,2.6×2.1,前方から,○,,,光感知式,,,,○,,○,根来寺　　　　　　　　　　　　　　　和歌山県植物公園緑花センター,,,,,,,,,,,,,,
131,根来寺公衆トイレ（西側）,岩出市,岩出市根来2286,終日,100,,水洗式,,3,7,,8,,,,,,,,,,,,,,,,,,,,,,,根来寺,,,,,,,,,,,,,,
132,根来寺公衆トイレ（北側）,岩出市,岩出市根来2284,終日,100,,水洗式,,1,2,,2,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,前方から,,,,,,,,,,○,根来寺,ベビーシート有,,,,,,,,,,,,,
133,"道の駅
「根来さくらの里」公衆トイレ",岩出市,岩出市押川37-1,終日,65うち大型4,2,水洗式,1,2,7,1,7,,,,,,○,○,レバー式,,引き戸式,2.5×3.0,前方から,○,,,光感知式,,,,,,○,"根来寺
道の駅「根来さくらの里」",,,,,,,,,,,,,,
134,嵯峨谷農村公園前公衆トイレ,橋本市,橋本市高野口町嵯峨谷,終日,10,,汲み取り式,,1,1,,1,,,,,,○,○,レバー式,○,引き戸式,3.0×3.0,,○,,,手動式,,,,,,,ふるさと体験村,,,,,,,,,,,,,,
135,JR高野口駅前公衆トイレ,橋本市,和歌山県橋本市高野口町名倉7902,終日,,,水洗式,,1,2,,2,,,,,,,○,光感知式,○,引き戸式,3.0×3.0,,○,,○,手動式,,,,,,○,高野口公園,,,,,,,,,,,,,,
136,あじさい公園公衆トイレ,橋本市,橋本市隅田町恋野,終日,20,,汲み取り式,,1,2,,2,,,,,,,○,レバー式,○,引き戸式,3.0×3.0,,,,,手動式,,○,,,,○,恋し野の里あじさい園,,,,,,,,,,,,,,
137,杉尾公衆トイレ,橋本市,橋本市杉尾,終日,2,1,水洗式,,1,1,,1,,,,,,○,○,レバー式,○,引き戸式,3.0×3.0,,,,,手動式,,,,,,,"不動山の巨石
明王寺",,,,,,,,,,,,,,
138,JR橋本駅前公衆トイレ,橋本市,和歌山県橋本市古佐田1丁目4-51,終日,,,水洗式,,,3,,,,3,,,,,,,,,,,,,,手動式,,,,,,,はしもと広域観光案内所,,,,,,,,,,,,,,
139,国城山公衆トイレ,橋本市,橋本市国城原,終日,20,,汲み取り式,,,2,,,,3,,,,,,,,,,,,,,手動式,,,,,,,国城神社,,,,,,,,,,,,,,
140,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,橋本市運動公園公衆トイレ（南側）,橋本市,橋本市北馬場454,終日,,,水洗式,,1,3,1,1,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
143,杉村公園公衆トイレ（駐車場上）,橋本市,橋本市御幸辻786,終日,15,,水洗式,,1,2,,2,,,,,,○,○,レバー式,,引き戸式,3.0×2.0,前方から,,,,手動式,,,,,,,橋本市郷土資料館,,,,,,,,,,,,,,
144,杉村公園公衆トイレ（芝生広場）,橋本市,橋本市御幸辻786,終日,,,水洗式,,,,,,,3,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
145,神野々キャンプ場公衆トイレ,橋本市,橋本市神野々,終日,,,汲み取り式,,1,2,,2,,,,,,○,○,レバー式,○,引き戸式,3.0×2.0,前方から,,,,手動式,,,,,,,,,,,,,,,,,,,,,
146,県立橋本体育館,橋本市,橋本市北馬場455,"9:00
21:00",700,2,水洗式,6,17,44,9,45,3,1,,1,,○,○,押ボタン式,○,引き戸式,2.0×1.8,前方から,,,○,光感知式,,,,,,○,相賀八幡神社,休館日：火曜日,,,,,,,,,,,,,
147,"高野口公園トイレ1
（広場横）",橋本市,橋本市高野口町名倉,終日,,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,高野口公園,,,,,,,,,,押ボタン式,,,,前方・右から
148,"高野口公園トイレ2
（神社横）",橋本市,橋本市高野口町名倉,終日,,,水洗式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,高野口公園,,,,,,,,,,,,,,前方・左から
149,"高野口公園トイレ3
（キャンプ施設横）",橋本市,橋本市高野口町名倉,終日,,,水洗式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,高野口公園,,,,,,,,,,,,,,前方・右・左から
150,道の駅「紀の川万葉の里」公衆トイレ,かつらぎ町,かつらぎ町窪,終日,85,5,水洗式,2,5,12,3,9,,,,,,○,○,光感知式,○,引き戸式,"2.5×2.5
2.5×3.0　　　　　　",前方・左から,○,○,○,光感知式,,○,○,○,○,○,串柿の里、宝来山神社、大和街道,,,,,,,,,,,,,,
151,柿の茶屋公衆トイレ,かつらぎ町,かつらぎ町西飯降,終日,15,2,水洗式,,1,2,,2,,,,,,○,○,くつべら式,,引き戸式,2.5×2.5,前方・左から,,,,手動式,,○,○,,,,"串柿の里
堀越癪観音",,,,,,,,,,,,,,
152,町石道神田地内公衆トイレ,かつらぎ町,かつらぎ町神田,終日,2,1,水洗式,1,,1,,,,,,,,○,○,くつべら式,,引き戸式,3.0×3.0,前方・左から,,,,手動式,,○,○,○,,,高野山町石道、丹生都比売神社、紀伊高原カントリークラブ,,,,,,,,,,,,,,
153,丹生都比売神社公衆トイレ,かつらぎ町,かつらぎ町上天野,終日,30,,水洗式,,1,2,,2,,,,,,○,○,光感知式,○,引き戸式,2.2×2.2,前方・左から,,,,光感知式,,○,○,○,,○,高野山町石道、丹生都比売神社、紀伊高原カントリークラブ,,,,,,,,,,,,,,
154,花園久木公衆トイレ,かつらぎ町,かつらぎ町花園久木,終日,5,,水洗式,,,2,,,1,1,,,,,,,,,,,,,,手動式,,,,,,,あじさい園、しゃくなげ園、花園グリーンパーク、恐竜ランド、恐竜館,,,,,,,,,,,,,,
155,花園中南公衆トイレ,かつらぎ町,かつらぎ町花園中南,終日,5,,水洗式,,,2,,3,,,,,,○,○,足踏式,,外開き式,2.4×2.5,前方・左から,,,,光感知式,,○,○,○,,○,あじさい園、しゃくなげ園、花園グリーンパーク、恐竜ランド、恐竜館,,,,,,,,,,,,,,
156,花園北寺公衆トイレ,かつらぎ町,かつらぎ町花園北寺,終日,10,,水洗式,,,1,,,,1,,,,○,○,押ボタン式,,引き戸式,2.0×2.1,前方・左から,,,,光感知式,,○,,○,,,あじさい園、しゃくなげ園、花園グリーンパーク、恐竜ランド、恐竜館,,,,,,,,,,,,,,
157,花園梁瀬公衆トイレ,かつらぎ町,かつらぎ町花園梁瀬,終日,5,,水洗式,,1,2,,2,,,,,,,,,,,,,,,,手動式,,,,,,,あじさい園、しゃくなげ園、花園グリーンパーク、恐竜ランド、恐竜館,,,,,,,,,,,,,,
158,花園臼谷公衆トイレ,かつらぎ町,かつらぎ町花園梁瀬,終日,5,,水洗式,,,1,,,,,,,,○,○,くつべら式,○,引き戸式,2.2×2.1,前方・右から,,,,手動式,,○,,,,,あじさい園、しゃくなげ園、花園グリーンパーク、恐竜ランド、恐竜館,,,,,,,,,,,,,,
159,高野龍神スカイライン公衆トイレ,かつらぎ町,かつらぎ町花園久木,終日,23,,水洗式,,1,3,,3,,,,,,○,○,くつべら式,,引き戸式,2.0×2.3,前方・左から,,,,光感知式,,○,○,○,,○,あじさい園、しゃくなげ園、花園グリーンパーク、恐竜ランド、恐竜館,,,,,,,,,,,,,,
160,堀越公衆トイレ,かつらぎ町,かつらぎ町東谷,終日,5,1,汲み取り式,,1,2,,2,1,,,,,○,○,押ボタン式,○,引き戸式,2.1×2.2,前方・右から,,,,手動式,,○,○,,○,,堀越癪観音、四郷串柿の里、三重の滝、文蔵の滝,,,,,,,,,,,,,,
161,妙寺駅前公衆トイレ,かつらぎ町,丁ノ町2228-10,終日,,,水洗式,,1,2,,2,,,,,,○,○,手動式,○,引き戸式,2.93×2.3,向かって左から,,,,光感知式,,,,,,○,,,,,,,,,,,,,,,
162,慈尊院公衆トイレ,九度山町,九度山町慈尊院854番地の3,終日,12,1,水洗式,1,,3,2,,,,,,,○,○,光感知式,○,引き戸式,2.4×2.7,前方・左から,,,,光感知式,,○,,○,,○,慈尊院、丹生官省符神社、勝利寺、紙遊苑、高野山町石道,,,,,,,,,,,,,,
163,丹生川駐車場公衆トイレ,九度山町,九度山町丹生川246-1,終日,15,1,汲み取り式,,1,2,1,1,,,,,,○,○,レバー式,○,引き戸式,2.5×2.852,前方・右から,,,,光感知式,,,,○,,,さえもん、玉川峡,,,,,,,,,,,,,,
164,慈尊院,九度山町,九度山町慈尊院832,終日,,,汲み取り式,,1,2,,1,,,,,,,,,,,,,,,,手動式,,,,,,,慈尊院、,,,,,,,,,,,,,,
165,ふるさと産品直売所,九度山町,九度山町九度山518-1,終日,,,水洗式,,2,5,,3,,,,,,,,,,,,,,,,手動式,,,,○,,,ふるさと産品直売所,,,,,,,,,,,,,,
166,ふるさとセンター,九度山町,九度山町九度山1190,終日,50,1,水洗式,,1,6,1,2,,,,,,○,○,手動式,○,引き戸式,2.4×2.4,前方から,,,○,レバー式,,,,,,,真田庵、,,,,,,,,,,,,,,
167,まちなか休憩所真田憩い茶屋,九度山町,九度山町,終日,,,汲み取り式,,,1,,,1,,,,,,,,,,,,,,,手動式,,,,,,,旧萱野家（大石順教尼の記念館）、対面石,,,,,,,,,,,,,,
168,富貴公衆トイレ,高野町,高野町大字東富貴地内,終日,9,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,光感知式,,,,,,,,,,,,,,,,,,,,,
169,高野山森林公園スポーツ広場公衆トイレ,高野町,高野町大字高野山地内,終日,20,,水洗式,,1,3,3,2,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,,,,,レバー式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
170,五の室金輪公園公衆トイレ,高野町,高野町大字高野山地内,終日,,,水洗式,,,2,,,,1,,,,,,,,,,,,,,手動式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
171,奥の院口公衆トイレ,高野町,高野町大字高野山地内,終日,,,水洗式,2,,5,6,,,,,,,○,○,手動式,○,引き戸式,2.1×2.2,,○,,○,光感知式,○,,○,,,○,奥の院、檀上伽藍、金剛峯寺,男子便器については無水便器,,,,,,,,,,,,,
172,谷ヶ峰公衆トイレ,高野町,高野町大字高野山地内,終日,,,水洗式,1,2,4,4,3,,,,,,○,○,手動式,○,引き戸式,2.0×2.0,,,,,光感知式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
173,女人堂公衆トイレ,高野町,高野町大字高野山地内,終日,4,,水洗式,,,一体型,,,,4,,,,,,,,,,,,,,手動式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
174,蓮華谷公衆トイレ,高野町,高野町大字高野山地内,終日,,,水洗式,1,1,2,1,1,,,,,,○,○,手動式,○,引き戸式,2.1×1.6,,,,,レバー式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
175,金剛峯寺前公衆トイレ,高野町,高野町大字高野山地内,終日,50,,水洗式,1,2,7,3,2,,,,,,○,○,手動式,○,引き戸式,2.0×2.0,,,,,光感知式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
176,文化通りレストスペース,高野町,高野町大字高野山地内,終日,,,水洗式,1,1,3,3,2,,,,,,○,○,手動式,○,引き戸式,2.0×2.0,,,,,光感知式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
177,中央公衆トイレ,高野町,高野町大字高野山地内,終日,,,水洗式,,1,4,,2,,,,,,,○,手動式,○,引き戸式,1.9×1.9,,,,,光感知式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
178,大門公衆トイレ,高野町,高野町大字高野山地内,終日,,,水洗式,,1,3,,3,,,,,,○,○,手動式,○,引き戸式,2.0×2.6,,○,,○,光感知式,○,,,,,○,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
179,中の橋駐車場公衆トイレ(立体),高野町,高野町大字高野山地内,終日,100,5,水洗式,,2,5,,6,,,,,,○,○,レバー式,,引き戸式,2.0×2.0,,,,,レバー式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
180,中の橋公衆トイレ,高野町,高野町大字高野山地内,終日,100,5,水洗式,,1,2,8,2,7,,,,,○,○,レバー式,,引き戸式,2.1×2.1,,,,,レバー式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
181,花坂公衆トイレ,高野町,高野町大字花坂地内,終日,,,水洗式,,1,2,1,2,,,,,,○,○,レバー式,○,引き戸式,2.6×2.3,,,,○,光感知式,,,,,,○,高野山町石道,,,,,,,,,,,,,,
182,森林公園駐車場公衆トイレ,高野町,高野町大字高野山地内,終日,50,,水洗式,,1,5,,5,,,,,,,,,,,,,,,,手動式,,,,,,,奥の院、檀上伽藍、金剛峯寺,,,,,,,,,,,,,,
183,高野山駅公衆トイレ,高野町,高野町高野山国有林第9林班ノは,終日,,,水洗式,1,1,3,1,2,,,,,,○,○,光感知式,○,引き戸式,2.5×2.4,前方・左から,,○,○,手動式,,,,,,,高野山,,,,,,,,,,,,,,
184,女人堂公衆トイレ,高野町,高野町大字高野山地内,終日,4,,水洗式,1,,3,3,,,　,,,,○,○,手動式,○,引き戸式,2.2×2.75,前方・左から,,,○,手動式,,○,○,○,,○,奥の院、檀上伽藍、金剛峯寺,高野山女人道ハイキングの基点として利用者が多い,,,,,,,,,,,,,
185,地ノ島海水浴場公衆トイレ,有田市,初島町浜地ノ島,終日,100,,汲み取り式,,1,2,,2,,,,,,,,,,,2.5×2.4,,,,,,,,,,,,有田みかん海道,地ノ島は無人島で、渡船で7分,,,,,,,,,,,,,
186,津井ノ浜公衆トイレ,有田市,宮崎町1238,終日,2,,汲み取り式,,,,,,,1,,,,,,,,,,,,,,,,,,,,,有田みかん海道,道が狭く、軽自動車でないと行けない。,,,,,,,,,,,,,
187,女ノ浦公衆トイレ,有田市,宮崎町1925-4,終日,,,汲み取り式,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,有田みかん海道,,,,,,,,,,,,,,
188,ウエノ公園公衆トイレ,有田市,宮崎町1166-1,終日,3,,水洗式,,1,1,,1,,,,,,○,○,手動式,○,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,有田みかん海道,桜の名所,,,,,,,,,,,,,
189,有田市近畿自然歩道公衆トイレ,有田市,宮原町畑409-4,終日,3,,水洗式,,1,1,,1,,,,,,○,○,手動式,,引き戸式,2.0×2.0,前方・右から,,,,手動式,,,,,,,熊野古道紀伊路,熊野古道蕪坂王子,,,,,,,,,,,,,
190,JR湯浅駅前公衆トイレ,湯浅町,湯浅町湯浅1052,終日,,1,水洗式,,1,2,,2,,,,,,○,○,レバー式,○,引き戸式,2.0×2.0,前方・右から,,,,,,,,,,,重要伝統的建造物群保存地区,,,,,,,,,,,,,,
191,田海岸公衆トイレ,湯浅町,湯浅町田地先,終日,1,1,水洗式,,,1,,1,1,,,,,○,○,レバー式,○,引き戸式,2.0×2.5,前方から,,,,レバー式,,,,,,,"田村海岸
県立西有田自然公園",,,,,,,,,,,,,,
192,小浜海岸公衆トイレ,湯浅町,湯浅町田1232-2,終日,,,汲み取り式,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,"小浜海岸
県立西有田自然公園",,,,,,,,,,,,,,
193,築港公衆トイレ,湯浅町,湯浅町湯浅地先,終日,1,,汲み取り式,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,"栖原海岸
県立西有田自然公園",,,,,,,,,,,,,,
194,削除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,栖原海岸公衆トイレ,湯浅町,湯浅町栖原951番地先,終日,,,水洗式,,1,3,,4,,,,,,,,,,,,,,,,,,,,,,,"栖原海岸
県立西有田自然公園",,,,,,,,,,,,,,
196,ふれあいギャラリー,湯浅町,湯浅町湯浅47-6,終日,,,水洗式,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,重要伝統的建造物群保存地区,,,,,,,,,,,,,,
197,甚風呂,湯浅町,湯浅町湯浅428,終日,,,水洗式,,,1,,,1,,,,1,○,○,レバー式,,引き戸式,1.6×2.4,前方から,○,,,レバー式,,,,,○,,重要伝統的建造物群保存地区,,,,,,,,,,,,,,
198,お休処 立石茶屋,湯浅町,湯浅町湯浅860-2,終日,,,水洗式,1,,1,1,,,,,,1,○,○,レバー式,,引き戸式,1.8×2.1,前方・右から,○,,,光感知式,○,,,,○,,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
199,施無畏寺,湯浅町,湯浅町栖原地先,終日,,,汲み取り式,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,施無畏寺、栖原海岸,,,,,,,,,,,,,,
200,なぎ公園公衆トイレ,湯浅町,湯浅町湯浅3273,終日,1,1,水洗式,1,,2,1,1,1,,,,,○,○,手動式,○,引き戸式,2.3×2.4,前方・左から,,,,光感知式,,,,,,○,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
201,宮西児童公園公衆トイレ,湯浅町,湯浅町湯浅1691,終日,,1,水洗式,,1,2,1,1,1,,,,,○,○,手動式,○,引き戸式,2.3×3.0,前方・右から,,,,光感知式,,,,,,○,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
202,わくわく公園公衆トイレ,湯浅町,湯浅町青木460,終日,,,水洗式,,,,,,1,,,,,○,○,レバー式,○,引き戸式,2.0×2.4,前方・右から,,,,手動式,,,,,,,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
203,方津戸グランド公衆トイレ,湯浅町,湯浅町栖原126,終日,,,水洗式,,,,,,1,,,,,○,○,レバー式,○,引き戸式,2.0×2.4,前方・右から,,,,手動式,,,,,,,熊野古道紀伊路、重要伝統的建造物群保存地区,,,,,,,,,,,,,,
